,0,1,2,3,4
54b544a3-0e86-48a6-8731-af64596229e5,CAPITOL SOLUTIONS,HYDROGEN ENERGY CALIFORNIA (HECA) (FORMERLY HYDROGEN ENERGY INTERNATIONAL LLC),,2011-04-08T16:08:57.057000-04:00,2011
527e388f-3f2b-4054-9674-1d6362199d5a,AMERICAN CAPITOL GROUP,UNIVERSITY OF UTAH,,2011-04-13T11:34:16.030000-04:00,2010
dc390eaf-3c86-44b7-b834-76955e85a844,AMERICAN CAPITOL GROUP,COLORADO SCHOOL OF MINES FOUNDATION,,2011-04-13T14:13:53.120000-04:00,2010
2485c759-bd2a-4663-a6e3-a22c03e5a22f,GREYSTONE GROUP LLC,UNIVERSITY OF NORTH DAKOTA,,2011-04-14T19:15:02.537000-04:00,2011
57ea9b10-df44-4e5d-9287-b307e8027043,SIEMENS CORPORATION,SIEMENS CORPORATION,1300000.00,2011-04-18T09:29:56.767000-04:00,2011
b9af847e-e009-4526-8b11-bee655eb723e,DENNY MILLER ASSOCIATES,RAMGEN POWER SYSTEMS,,2011-04-18T14:57:38.310000-04:00,2011
7987db54-eb38-4eec-897d-3635987785cf,TEMPLE-INLAND INC.,TEMPLE-INLAND INC,100000.00,2011-04-19T12:29:44.637000-04:00,2011
48775d43-a3ac-496f-8b2f-8ad1b1b1a3b3,LEAGUE OF CONSERVATION VOTERS,LEAGUE OF CONSERVATION VOTERS,60000.00,2011-04-19T17:15:00.437000-04:00,2011
491391a9-44f7-40af-ad65-6ba0cf04a727,"LEWIS-BURKE ASSOCIATES, LLC",NEW MEXICO STATE UNIVERSITY,,2011-04-20T08:34:18.670000-04:00,2011
8b23b68c-01cf-431c-9261-5b1cb96b2921,TRANSPORTATION COMMUNICATIONS NATIONAL UNION/IAM (FKA TRANSPORTATION COMMUNICATI,TRANSPORTATION COMMUNICATIONS NATIONAL UNION/IAM (FKA TRANSPORTATION COMMUNICATI,233000.00,2011-04-20T11:29:54.377000-04:00,2011
feb9c43b-a92b-4791-bf40-5943a79d6616,"SIGNAL GROUP CONSULTING, LLC",AKERMIN INC,,2011-04-20T11:42:55.020000-04:00,2011
2d48602e-25a1-409c-8f7c-86f860425bea,"SIGNAL GROUP CONSULTING, LLC",EASTMAN CHEMICAL COMPANY,,2011-04-20T13:59:33.320000-04:00,2011
d76d2332-aad8-4885-9e42-e5ffd2c2dfec,"SIGNAL GROUP CONSULTING, LLC",HONEYWELL INTERNATIONAL INC.,,2011-04-20T14:36:32.927000-04:00,2011
469b4396-6017-45e8-96f1-ebe0bc5939bc,"K&L GATES, LLP",ACCELERGY CORPORATION,,2011-04-20T14:53:46.677000-04:00,2011
