"","registrant_name","client_name","amount_reported","date_posted","filing_year","policy_issue"
"1","MS. SUZANNE EISOLD","ALCALDE & FAY (NEW MEXICO TECH UNIVERSITY)",0,2011-02-15,2011,"biofuels"
"2","SIGNAL GROUP CONSULTING, LLC","VIRENT, INC. (FKA VIRENT ENERGY SYSTEMS, INC.)",0,2011-03-24,2011,"biofuels"
"3","LOBBYIT.COM","INDEPENDENCE BIO PRODUCTS",0,2011-04-05,2011,"biofuels"
"4","MS. SUZANNE EISOLD","ALCALDE & FAY (NEW MEXICO TECH UNIVERSITY)",0,2011-04-07,2011,"biofuels"
"5","CLAUSTEN LLC","GREENWORKS HOLDINGS COMPANY",0,2011-05-05,2011,"biofuels"
"6","CODEXIS, INC.","CODEXIS, INC.",0,2011-05-13,2011,"biofuels"
"7","UNILEVER UNITED STATES, INC.","UNILEVER UNITED STATES, INC.",0,2011-05-18,2011,"biofuels"
"8","UNILEVER UNITED STATES, INC.","UNILEVER UNITED STATES, INC.",0,2011-05-18,2011,"biofuels"
"9","DOW LOHNES GOVERNMENT STRATEGIES LLC","UNION OF CONCERNED SCIENTISTS",0,2011-06-21,2011,"biofuels"
"10","GREEN CAPITOL LLC","BP BIOFUELS NORTH AMERICA LLC",0,2011-09-03,2011,"biofuels"
"11","OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC","FAGEN, INC.",0,2011-10-19,2011,"biofuels"
"12","OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC","SOUTH DAKOTA STATE UNIVERSITY",0,2011-10-19,2011,"biofuels"
"13","OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC","ALTEN OPERATING COMPANY, LLC",0,2011-10-19,2011,"biofuels"
"14","CAPITOL PARTNERS, INC.","SUNDROP FUELS INC",0,2011-10-23,2011,"biofuels"
"15","SIGNAL GROUP CONSULTING, LLC","THE PEW CHARITABLE TRUSTS CLEAN ENERGY PROGRAM",0,2011-11-23,2011,"biofuels"
"16","SIGNAL GROUP CONSULTING, LLC","THE PEW CHARITABLE TRUSTS CLEAN ENERGY PROGRAM",0,2011-11-23,2011,"biofuels"
"17","OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC","FULCRUM BIOENERGY, INC.",0,2011-12-12,2011,"biofuels"
"18","ALSTON & BIRD LLP","RENEWABLE ENERGY GROUP",0,2011-12-27,2011,"biofuels"
"19","DENNY MILLER ASSOCIATES","ENSYN CORPORATION",0,2012-01-20,2011,"biofuels"
"20","DCG PUBLIC AFFAIRS, LLC","AMERICAN CLEANING INSTITUTE",0,2012-02-01,2012,"biofuels"
"21","VAN NESS FELDMAN, LLP","WILMAR OLEO NORTH AMERICA",0,2012-04-02,2012,"biofuels"
"22","AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS","AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS",0,2012-04-17,2012,"biofuels"
"23","SIGNAL GROUP CONSULTING, LLC","VIRENT, INC. (FKA VIRENT ENERGY SYSTEMS, INC.)",0,2012-04-19,2011,"biofuels"
"24","SIGNAL GROUP CONSULTING, LLC","VIRENT, INC. (FKA VIRENT ENERGY SYSTEMS, INC.)",0,2012-04-19,2011,"biofuels"
"25","GRIFFIN FOSTER","STATE OF INDIANA, OFFICE OF THE GOVERNOR",0,2012-04-20,2011,"biofuels"
"26","CAPITOL PARTNERS, INC.","SUNDROP FUELS INC",0,2012-04-23,2012,"biofuels"
"27","HOLLAND & KNIGHT LLP","NESTE US, INC.",0,2012-05-15,2012,"biofuels"
"28","HOLLAND & KNIGHT LLP","INDONESIAN PALM OIL BOARD",0,2012-05-15,2012,"biofuels"
"29","HOLLAND & KNIGHT LLP","MALAYSIAN PALM OIL COUNCIL",0,2012-05-16,2012,"biofuels"
"30","DESIMONE CONSULTING, LLC","WASHINGTON STATE UNIVERSITY",0,2012-06-08,2012,"biofuels"
"31","DESIMONE CONSULTING, LLC","WASHINGTON STATE UNIVERSITY",0,2012-06-08,2012,"biofuels"
"32","BLUEWATER STRATEGIES","CHEMTEX INTERNATIONAL, INC.",0,2012-06-13,2012,"biofuels"
"33","POLICY NAVIGATION GROUP","FEDERAL SOLUTIONS, LLC ON BEHALF OF KIOR",0,2012-07-08,2012,"biofuels"
"34","ML STRATEGIES, LLC","TERRABON OPERATING COMPANY, INC.",0,2012-08-02,2012,"biofuels"
"35","POET, LLC","POET, LLC",0,2012-09-12,2012,"biofuels"
"36","FORBES-TATE","AMERICAN HONDA MOTOR CO., INC.",0,2012-10-09,2012,"biofuels"
"37","RENEWABLE ENERGY GROUP, INC.","RENEWABLE ENERGY GROUP, INC.",0,2012-10-16,2012,"biofuels"
"38","RENEWABLE ENERGY GROUP, INC.","RENEWABLE ENERGY GROUP, INC.",0,2012-10-16,2012,"biofuels"
"39","CLAUSTEN LLC","TRITON ENERGY LLC",0,2012-12-21,2012,"biofuels"
"40","CLAUSTEN LLC","VIESEL FUEL LLC",0,2012-12-21,2012,"biofuels"
"41","DYNAMIC CHANGE GROUP, LLC","THE AMERICAN BIOGAS COUNCIL",0,2013-05-14,2013,"biofuels"
"42","HOLLAND & KNIGHT LLP","LANZATECH",0,2013-07-09,2013,"biofuels"
"43","BALCH & BINGHAM, LLP","WESTROCK (FORMERLY ROCKTENN)",0,2013-07-16,2013,"biofuels"
"44","BALCH & BINGHAM, LLP","WESTROCK (FORMERLY ROCKTENN)",0,2013-07-16,2013,"biofuels"
"45","J M BURKMAN & ASSOCIATES","GLOBAL HYDROGEN TECHNOLOGIES",0,2013-09-02,2013,"biofuels"
"46","VAN SCOYOC ASSOCIATES","AMERICAN CLEANING INSTITUTE",0,2014-01-14,2014,"biofuels"
"47","UFS MANAGEMENT","UFS MANAGMENT",0,2014-02-26,2014,"biofuels"
"48","HOLLAND & KNIGHT LLP","SUNDROP FUELS, INC.",0,2014-05-28,2014,"biofuels"
"49","CLAUSTEN LLC","LIFCYCLE RENEWABLES",0,2014-09-02,2014,"biofuels"
"50","MANATT, PHELPS, AND PHILLIPS","CHANNEL BIOREFINERY AND TERMINALS",0,2014-09-05,2014,"biofuels"
"51","MR. KENDELL KEITH","LOUIS DREYFUS COMPANY LLC",0,2015-02-12,2015,"biofuels"
"52","J M BURKMAN & ASSOCIATES","VIRIDIS",0,2015-04-21,2015,"biofuels"
"53","RAFFANIELLO & ASSOCIATES","ADVANCED BIOFUELS ASSOCIATION",0,2015-09-16,2015,"biofuels"
"54","SQUIRE PATTON BOGGS","DUKE ENERGY BUSINESS SERVICES LLC",0,2016-03-31,2016,"biofuels"
"55","SQUIRE PATTON BOGGS","DUKE ENERGY BUSINESS SERVICES LLC",0,2016-03-31,2016,"biofuels"
"56","NUTTER & HARRIS, INC","WEYERHAEUSER",0,2016-04-28,2016,"biofuels"
"57","SLK STRATEGIES","AMERICAN FEED INDUSTRY ASSOCIATION",0,2016-05-17,2016,"biofuels"
"58","SQUIRE PATTON BOGGS","SYNGENTA CORPORATION",0,2017-02-27,2017,"biofuels"
"59","ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG)","RENEWABLE FUELS ASSOCIATION",0,2017-06-29,2017,"biofuels"
"60","HOLLAND & KNIGHT LLP","ENSYN CORPORATION",0,2017-08-10,2017,"biofuels"
"61","EDENIQ, INC.","EDENIQ, INC.",0,2017-10-19,2017,"biofuels"
"62","SQUIRE PATTON BOGGS","SYNGENTA CORPORATION",0,2017-12-05,2017,"biofuels"
"63","SUMITOMO CORPORATION OF AMERICAS","SUMITOMO CORPORATION OF AMERICAS",0,2018-07-31,2018,"biofuels"
"64","AG PROCESSING, INC.","AG PROCESSING INC",0,2018-08-09,2018,"biofuels"
"65","BUSINESS GOVERNMENT SOLUTIONS","HOLLAND & KNIGHT LLP (ON BEHALF OF ADVANCED BIOFUELS ASSOCIATION)",0,2018-10-18,2018,"biofuels"
"66","GRAYROBINSON PA","NATIONAL ASSOCIATION OF TRUCK STOP OPERATORS",0,2019-03-18,2019,"biofuels"
"67","ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG)","GROWTH ENERGY, INC.",0,2019-06-28,2019,"biofuels"
"68","CULTIVATING CONSERVATION","AMERICAN COALITION FOR ETHANOL",0,2019-07-22,2019,"biofuels"
"69","NESTE US, INC.","NESTE US, INC.",0,2019-08-06,2019,"biofuels"
"70","ALTERNATIVE FUELS & CHEMICALS COALITION","ALTERNATIVE FUELS & CHEMICALS COALITION",0,2019-09-30,2019,"biofuels"
"71","BRACEWELL LLP","GROWTH ENERGY",0,2020-04-17,2020,"biofuels"
"72","HOLLAND & KNIGHT LLP","SAPPHIRE ENERGY, INC.",0,2011-04-06,2011,"biofuels"
"73","LOBBYIT.COM","INDEPENDENCE BIO PRODUCTS",0,2011-04-06,2011,"biofuels"
"74","ARKANSAS FARM BUREAU FEDERATION","ARKANSAS FARM BUREAU FEDERATION",22721.98,2011-04-07,2011,"biofuels"
"75","HORMEL FOODS CORPORATION","HORMEL FOODS CORPORATION",77775,2011-04-08,2011,"biofuels"
"76","ARKANSAS FARM BUREAU FEDERATION","ARKANSAS FARM BUREAU FEDERATION",26732.98,2011-04-11,2011,"biofuels"
"77","AMERICAN CAPITOL GROUP","OSAGE BIOENERGY",0,2011-04-11,2011,"biofuels"
"78","AMERICAN CAPITOL GROUP","OSAGE BIOENERGY",0,2011-04-11,2011,"biofuels"
"79","AMERICAN CAPITOL GROUP","MASCOMA CORPORATION",0,2011-04-11,2011,"biofuels"
"80","MAGELLAN MIDSTREAM PARTNERS","MAGELLAN MIDSTREAM PARTNERS",35269,2011-04-12,2011,"biofuels"
"81","POLICY DIRECTIONS INC.","AMERICAN FEED INDUSTRY ASSOCIATION",0,2011-04-12,2011,"biofuels"
"82","POLICY DIRECTIONS INC.","NATIONAL RENDERERS ASSOCIATION",0,2011-04-12,2011,"biofuels"
"83","POLICY DIRECTIONS INC.","NESTLE PURINA PETCARE CO",0,2011-04-12,2011,"biofuels"
"84","VAN NESS FELDMAN, LLP","SOLIX BIOFUELS",0,2011-04-13,2011,"biofuels"
"85","DUTKO WORLDWIDE, LLC","CITGO PETROLEUM CORPORATION",0,2011-04-13,2011,"biofuels"
"86","BLUEWATER STRATEGIES","AMERICAN COALITION FOR ETHANOL",0,2011-04-14,2011,"biofuels"
"87","ML STRATEGIES, LLC","INEOS BIO",0,2011-04-14,2011,"biofuels"
"88","FARMERS EDUCATIONAL COOPERATIVE UNION OF AMERICA","FARMERS EDUCATIONAL COOPERATIVE UNION OF AMERICA",150000,2011-04-14,2011,"biofuels"
"89","AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS","AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS",353835,2011-04-14,2011,"biofuels"
"90","DUTKO WORLDWIDE, LLC","ZEACHEM, INC.",0,2011-04-14,2011,"biofuels"
"91","THE HERSHEY COMPANY","HERSHEY COMPANY",165000,2011-04-15,2011,"biofuels"
"92","NATIONAL CORN GROWERS ASSN","NATIONAL CORN GROWERS ASSN",110000,2011-04-15,2011,"biofuels"
"93","NATIONAL CORN GROWERS ASSN","NATIONAL CORN GROWERS ASSN",110000,2011-04-15,2011,"biofuels"
"94","VIRENT, INC.","VIRENT INC",30000,2011-04-15,2011,"biofuels"
"95","GORDLEY ASSOCIATES","SOUTHERN ETHANOL COUNCIL, INC.",0,2011-04-18,2011,"biofuels"
"96","K&L GATES, LLP","ALGAE BIOMASS ORGANIZATION",0,2011-04-18,2011,"biofuels"
"97","ASSOCIATION OF EQUIPMENT MANUFACTURERS","ASSOCIATION OF EQUIPMENT MANUFACTURERS",663575,2011-04-18,2011,"biofuels"
"98","AMERICAN FARM BUREAU FED","AMERICAN FARM BUREAU FED",590000,2011-04-18,2011,"biofuels"
"99","K&L GATES, LLP","SAPPHIRE ENERGY",0,2011-04-18,2011,"biofuels"
"100","ALPINE GROUP PARTNERS, LLC.","BIOTECHNOLOGY INDUSTRY ORGANIZATION (BIO)",0,2011-04-18,2011,"biofuels"
"101","MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP)","SMITHFIELD FOODS INC",0,2011-04-18,2011,"biofuels"
"102","ALPINE GROUP PARTNERS, LLC.","DSM NORTH AMERICA",0,2011-04-18,2011,"biofuels"
"103","THE UNIVERSITY OF NORTH CAROLINA SYSTEM","THE UNIVERSITY OF NORTH CAROLINA SYSTEM",123554,2011-04-18,2011,"biofuels"
"104","NATSO, INC.","NATSO INC",27543,2011-04-18,2011,"biofuels"
"105","AKIN GUMP STRAUSS HAUER & FELD","VOLKSWAGEN GROUP OF AMERICA, INC.",0,2011-04-18,2011,"biofuels"
"106","AKIN GUMP STRAUSS HAUER & FELD","LANZATECH INC.",0,2011-04-18,2011,"biofuels"
"107","AMERICAN CLEANING INSTITUTE","AMERICAN CLEANING INSTITUTE (FORMERLY KNOWN AS THE SOAP & DETERGENT ASSOCIATION)",90000,2011-04-18,2011,"biofuels"
"108","GREEN CAPITOL LLC","GEVO",0,2011-04-18,2011,"biofuels"
"109","GREEN CAPITOL LLC","BIO",0,2011-04-18,2011,"biofuels"
"110","THE HOBBS GROUP, LLC","HONEYWELL INTERNATIONAL",0,2011-04-18,2011,"biofuels"
"111","COUNCIL OF INDUSTRIAL BOILER OWNERS","COUNCIL OF INDUSTRIAL BOILER OWNERS",20000,2011-04-19,2011,"biofuels"
"112","TEMPLE-INLAND INC.","TEMPLE-INLAND INC",1e+05,2011-04-19,2011,"biofuels"
"113","WEYERHAEUSER COMPANY","WEYERHAEUSER COMPANY",790000,2011-04-19,2011,"biofuels"
"114","SMITH&BOYETTE","FLORIDA CRYSTALS CORPORATION",0,2011-04-19,2011,"biofuels"
"115","MS. SUZANNE EISOLD","ALCALDE & FAY (NEW MEXICO TECH UNIVERSITY)",0,2011-04-19,2011,"biofuels"
"116","SYNGENTA CORPORATION","SYNGENTA CORPORATION",140000,2011-04-19,2011,"biofuels"
"117","LYONDELL CHEMICAL COMPANY","LYONDELL CHEMICAL COMPANY",270000,2011-04-19,2011,"biofuels"
"118","FLORIDA CRYSTALS CORPORATION","FLORIDA CRYSTALS CORPORATION",170000,2011-04-19,2011,"biofuels"
"119","NATIONAL ASSOCIATION OF CONVENIENCE STORES","NATIONAL ASSOCIATION OF CONVENIENCE STORES",1166000,2011-04-19,2011,"biofuels"
"120","SNAC INTERNATIONAL","SNAC INTERNATIONAL",50000,2011-04-19,2011,"biofuels"
"121","CRACKER BARREL OLD COUNTRY STORE, INC.","CRACKER BARREL OLD COUNTRY STORE, INC.",40000,2011-04-19,2011,"biofuels"
"122","BRET HEALY D/B/A RIVERBLUFF STRATEGIES","KANSAS ALLIANCE FOR BIOREFINING AND BIOENERGY, INC.",0,2011-04-19,2011,"biofuels"
"123","BRET HEALY D/B/A RIVERBLUFF STRATEGIES","WESTERN PLAINS ENERGY",0,2011-04-19,2011,"biofuels"
"124","WEYERHAEUSER COMPANY","WEYERHAEUSER COMPANY",850000,2011-04-19,2011,"biofuels"
"125","CHEVRON U.S.A. INC.","CHEVRON U.S.A. INC.",2800000,2011-04-19,2011,"biofuels"
"126","CLEAN FUELS ALLIANCE AMERICA F/K/A NATIONAL BIODIESEL BOARD","CLEAN FUELS ALLIANCE AMERICA F/K/A NATIONAL BIODIESEL BOARD",240872,2011-04-20,2011,"biofuels"
"127","SQUIRE PATTON BOGGS","CLEMSON UNIVERSITY",0,2011-04-20,2011,"biofuels"
"128","NATIONAL MILK PRODUCERS FEDERATION","NATIONAL MILK PRODUCERS FEDERATION",215934,2011-04-20,2011,"biofuels"
"129","LEWIS-BURKE ASSOCIATES, LLC","NEW MEXICO STATE UNIVERSITY",0,2011-04-20,2011,"biofuels"
"130","MICHAEL TORREY ASSOCIATES, LLC","SNAC INTERNATIONAL",0,2011-04-20,2011,"biofuels"
"131","TOYOTA MOTOR NORTH AMERICA, INC. (TMA)","TOYOTA MOTOR NORTH AMERICA INC (TMA)",1037000,2011-04-20,2011,"biofuels"
"132","PEPSICO, INC","PEPSICO INC",1250000,2011-04-20,2011,"biofuels"
"133","MONSANTO COMPANY","MONSANTO COMPANY",1440000,2011-04-20,2011,"biofuels"
"134","THE OB-C GROUP, LLC","HONEYWELL INTERNATIONAL",0,2011-04-20,2011,"biofuels"
"135","WINNING STRATEGIES WASHINGTON","ROWAN UNIVERSITY",0,2011-04-20,2011,"biofuels"
"136","WILLIAMS AND JENSEN, PLLC","SMITHFIELD FOODS, INC.",0,2011-04-20,2011,"biofuels"
"137","SIGNAL GROUP CONSULTING, LLC","AKERMIN INC",0,2011-04-20,2011,"biofuels"
"138","NORTH CAROLINA STATE UNIVERSITY","NORTH CAROLINA STATE UNIVERSITY",60000,2011-04-20,2011,"biofuels"
"139","SIGNAL GROUP CONSULTING, LLC","BOEING COMPANY",0,2011-04-20,2011,"biofuels"
"140","DC LEGISLATIVE AND REGULATORY SERVICES, INC.","ILLINOIS CORN GROWERS ASSOCIATION",0,2011-04-20,2011,"biofuels"
"141","CONAGRA BRANDS, INC.","CONAGRA BRANDS INC",1e+05,2011-04-20,2011,"biofuels"
"142","DEBORAH HOHLT","STATE OF INDIANA",0,2011-04-20,2011,"biofuels"
"143","GRIFFIN FOSTER","STATE OF INDIANA, OFFICE OF THE GOVERNOR",0,2011-04-20,2011,"biofuels"
"144","BOCKORNY GROUP, INC.","PATRIOT RENEWABLE FUEL",0,2011-04-20,2011,"biofuels"
"145","BOCKORNY GROUP, INC.","POET LLC",0,2011-04-20,2011,"biofuels"
"146","SIGNAL GROUP CONSULTING, LLC","HONEYWELL INTERNATIONAL INC.",0,2011-04-20,2011,"biofuels"
"147","ALLIANCE FOR AUTOMOTIVE INNOVATION","ALLIANCE FOR AUTOMOTIVE INNOVATION",1700000,2011-04-20,2011,"biofuels"
"148","ALLIANCE FOR AUTOMOTIVE INNOVATION","ALLIANCE FOR AUTOMOTIVE INNOVATION",1700000,2011-04-20,2011,"biofuels"
"149","SIGNAL GROUP CONSULTING, LLC","PORT OF SEATTLE",0,2011-04-20,2011,"biofuels"
"150","EXXON MOBIL CORP","EXXON MOBIL CORP",3010000,2011-04-20,2011,"biofuels"
"151","SIGNAL GROUP CONSULTING, LLC","RED WOLF REFINING CORPORATION",0,2011-04-20,2011,"biofuels"
"152","PODESTA GROUP, INC.","SYNTHETIC GENOMICS",0,2011-04-20,2011,"biofuels"
"153","THE UNION OF CONCERNED SCIENTISTS","UNION OF CONCERNED SCIENTISTS",83503.44,2011-04-20,2011,"biofuels"
"154","DC LEGISLATIVE AND REGULATORY SERVICES, INC.","BRITISH PETROLEUM AMERICA",0,2011-04-20,2011,"biofuels"
"155","CORTEVA AGRISCIENCE LLC (FKA E.I. DU PONT DE NEMOURS AND COMPANY)","CORTEVA AGRISCIENCE LLC (FKA E I DU PONT DE NEMOURS AND COMPANY)",1207407.5,2011-04-20,2011,"biofuels"
"156","ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG)","BIOTECHNOLOGY INNOVATION ORGANIZATION",0,2011-04-20,2011,"biofuels"
"157","BUNGE NORTH AMERICA, INC","BUNGE NORTH AMERICA, INC",160000,2011-04-20,2011,"biofuels"
"158","NORTH AMERICAN MEAT INSTITUTE (AMERICAN MEAT INSTITUTE)","NORTH AMERICAN MEAT INSTITUTE (AMERICAN MEAT INSTITUTE)",50000,2011-04-20,2011,"biofuels"
"159","HONEYWELL INTERNATIONAL","HONEYWELL INTERNATIONAL",1510000,2011-04-20,2011,"biofuels"
"160","3M COMPANY","3M COMPANY",910000,2011-04-20,2011,"biofuels"
"161","SIGNAL GROUP CONSULTING, LLC","VIRENT, INC. (FKA VIRENT ENERGY SYSTEMS, INC.)",0,2011-04-20,2011,"biofuels"
"162","AMERICAN INTERNATIONAL AUTOMOBILE DEALERS ASSOCIATION","AMERICAN INTERNATIONAL AUTOMOBILE DEALERS ASSOCIATION",285000,2011-04-20,2011,"biofuels"
"163","SIGNAL GROUP CONSULTING, LLC","WASHINGTON STATE UNIVERSITY",0,2011-04-20,2011,"biofuels"
"164","C2 GROUP, LLC","PEPSICO",0,2011-04-20,2011,"biofuels"
"165","POET, LLC","POET, LLC",360000,2011-04-20,2011,"biofuels"
"166","THE DIAMOND GROUP","THE NATIONAL BIODIESEL BOARD",0,2011-04-20,2011,"biofuels"
"167","SHELL USA, INC. (FKA SHELL OIL COMPANY)","SHELL USA, INC. (FKA SHELL OIL COMPANY)",3880000,2011-04-20,2011,"biofuels"
"168","JEFFERSON STREET CONSULTING LLC","HENKEL OF AMERICA INC.",0,2011-04-20,2011,"biofuels"
"169","THE DIAMOND GROUP","MAGELLAN MIDSTREAM PARTNERS, L.P. (MMP)",0,2011-04-20,2011,"biofuels"
"170","KIMBERLY CONSULTING, LLC","KIMBERLY-CLARK CORPORATION",0,2011-04-20,2011,"biofuels"
"171","DENTONS US LLP","HILLSHIRE BRANDS CORPORATION",0,2011-04-20,2011,"biofuels"
"172","SARA LEE CORPORATION","SARA LEE CORPORATION",60000,2011-04-20,2011,"biofuels"
"173","C2 GROUP, LLC","PEPSICO",0,2011-04-20,2011,"biofuels"
"174","BIOTECHNOLOGY INNOVATION ORGANIZATION","BIOTECHNOLOGY INNOVATION ORGANIZATION",2e+06,2011-04-20,2011,"biofuels"
"175","BIOTECHNOLOGY INNOVATION ORGANIZATION","BIOTECHNOLOGY INNOVATION ORGANIZATION",2e+06,2011-04-20,2011,"biofuels"
"176","AMERICAN PETROLEUM INSTITUTE","AMERICAN PETROLEUM INSTITUTE",2070000,2011-04-20,2011,"biofuels"
"177","DICKSTEIN SHAPIRO LLP","PEABODY ENERGY",0,2011-04-20,2011,"biofuels"
"178","PLUM CREEK TIMBER COMPANY, INC.","PLUM CREEK TIMBER COMPANY INC",230000,2011-04-20,2011,"biofuels"
"179","PEABODY INVESTMENTS CORP.","PEABODY INVESTMENTS CORP",1360000,2011-04-20,2011,"biofuels"
"180","GROWTH ENERGY, INC.","GROWTH ENERGY INC",370000,2011-04-21,2011,"biofuels"
"181","CLEMSON UNIVERSITY","CLEMSON UNIVERSITY",65976.32,2011-04-21,2011,"biofuels"
"182","JOHN GRZEBIEN","BIOPROCESSALGAE, LLC",0,2011-04-21,2011,"biofuels"
"183","ILLINOIS AGRICULTURAL ASSOCIATION","ILLINOIS AGRICULTURAL ASSOCIATION",1e+05,2011-04-21,2011,"biofuels"
"184","GENERAL ATOMICS","GENERAL ATOMICS",340000,2011-04-21,2011,"biofuels"
"185","NEW GENERATION BIOFUELS (FORMERLY H2DIESEL)","NEW GENERATION BIOFUELS (FORMERLY H2DIESEL)",10000,2011-04-22,2011,"biofuels"
"186","NUTTER & HARRIS, INC","PLUM CREEK TIMBER COMPANY",0,2011-04-24,2011,"biofuels"
"187","BIOCOM","BIOCOM",57000,2011-05-01,2011,"biofuels"
"188","THE SAME PAGE","CLEAN FUELS DEVELOPMENT COALITION",0,2011-05-09,2011,"biofuels"
"189","THE SAME PAGE","CLEAN FUELS DEVELOPMENT COALITION",0,2011-05-09,2011,"biofuels"
"190","VIRENT, INC.","VIRENT INC",50000,2011-06-02,2011,"biofuels"
"191","DC LEGISLATIVE AND REGULATORY SERVICES, INC.","ILLINOIS CORN GROWERS ASSOCIATION",0,2011-06-29,2011,"biofuels"
"192","DUTKO WORLDWIDE, LLC","CITGO PETROLEUM CORPORATION",0,2011-07-05,2011,"biofuels"
"193","DUTKO WORLDWIDE, LLC","ZEACHEM, INC.",0,2011-07-11,2011,"biofuels"
"194","DUTKO WORLDWIDE, LLC","ZEACHEM, INC.",0,2011-07-11,2011,"biofuels"
"195","HOLLAND & KNIGHT LLP","SAPPHIRE ENERGY, INC.",0,2011-07-11,2011,"biofuels"
"196","STRATEGIC MARKETING INNOVATIONS","UNIVERSITY OF MAINE",0,2011-07-11,2011,"biofuels"
"197","NUTTER & HARRIS, INC","PLUM CREEK TIMBER COMPANY",0,2011-07-12,2011,"biofuels"
"198","ASSOCIATION OF EQUIPMENT MANUFACTURERS","ASSOCIATION OF EQUIPMENT MANUFACTURERS",663575,2011-07-12,2011,"biofuels"
"199","TEMPLE-INLAND INC.","TEMPLE-INLAND INC",1e+05,2011-07-12,2011,"biofuels"
"200","GORDLEY ASSOCIATES","SOUTHERN ETHANOL COUNCIL, INC.",0,2011-07-12,2011,"biofuels"
"201","OREGON STATE UNIVERSITY","OREGON STATE UNIVERSITY",40000,2011-07-12,2011,"biofuels"
"202","CLEAN FUELS ALLIANCE AMERICA F/K/A NATIONAL BIODIESEL BOARD","CLEAN FUELS ALLIANCE AMERICA F/K/A NATIONAL BIODIESEL BOARD",308987,2011-07-13,2011,"biofuels"
"203","CLEAN FUELS ALLIANCE AMERICA F/K/A NATIONAL BIODIESEL BOARD","CLEAN FUELS ALLIANCE AMERICA F/K/A NATIONAL BIODIESEL BOARD",308987,2011-07-13,2011,"biofuels"
"204","SEABOARD CORPORATION","SEABOARD CORPORATION",40000,2011-07-13,2011,"biofuels"
"205","MICHAEL TORREY ASSOCIATES, LLC","SNAC INTERNATIONAL",0,2011-07-14,2011,"biofuels"
"206","WEYERHAEUSER COMPANY","WEYERHAEUSER COMPANY",750000,2011-07-14,2011,"biofuels"
"207","ML STRATEGIES, LLC","INEOS BIO",0,2011-07-15,2011,"biofuels"
"208","AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS","AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS",520867,2011-07-15,2011,"biofuels"
"209","NATIONAL MILK PRODUCERS FEDERATION","NATIONAL MILK PRODUCERS FEDERATION",253494,2011-07-15,2011,"biofuels"
"210","AKIN GUMP STRAUSS HAUER & FELD","LANZATECH INC.",0,2011-07-16,2011,"biofuels"
"211","POLICY DIRECTIONS INC.","AMERICAN FEED INDUSTRY ASSOCIATION",0,2011-07-18,2011,"biofuels"
"212","POLICY DIRECTIONS INC.","NATIONAL RENDERERS ASSOCIATION",0,2011-07-18,2011,"biofuels"
"213","POLICY DIRECTIONS INC.","NESTLE PURINA PETCARE CO",0,2011-07-18,2011,"biofuels"
"214","FARMERS EDUCATIONAL COOPERATIVE UNION OF AMERICA","FARMERS EDUCATIONAL COOPERATIVE UNION OF AMERICA",80000,2011-07-18,2011,"biofuels"
"215","MAGELLAN MIDSTREAM PARTNERS","MAGELLAN MIDSTREAM PARTNERS",27769,2011-07-18,2011,"biofuels"
"216","ASSOCIATION OF GLOBAL AUTOMAKERS, INC.","ASSOCIATION OF GLOBAL AUTOMAKERS, INC.",410000,2011-07-18,2011,"biofuels"
"217","NATIONAL CORN GROWERS ASSN","NATIONAL CORN GROWERS ASSN",130000,2011-07-18,2011,"biofuels"
"218","AMERICAN CAPITOL GROUP","OSAGE BIOENERGY",0,2011-07-18,2011,"biofuels"
"219","OGILVY GOVERNMENT RELATIONS","ARIZONA CHEMICAL",0,2011-07-18,2011,"biofuels"
"220","MOTOR & EQUIPMENT MANUFACTURERS ASSOCIATION","MOTOR & EQUIPMENT MANUFACTURERS ASSOCIATION",45336.35,2011-07-18,2011,"biofuels"
"221","NORTH AMERICAN MEAT INSTITUTE (AMERICAN MEAT INSTITUTE)","NORTH AMERICAN MEAT INSTITUTE (AMERICAN MEAT INSTITUTE)",30000,2011-07-18,2011,"biofuels"
"222","THE DIAMOND GROUP","THE NATIONAL BIODIESEL BOARD",0,2011-07-18,2011,"biofuels"
"223","THE DIAMOND GROUP","MAGELLAN MIDSTREAM PARTNERS, L.P. (MMP)",0,2011-07-18,2011,"biofuels"
"224","ALPINE GROUP PARTNERS, LLC.","DSM NORTH AMERICA",0,2011-07-19,2011,"biofuels"
"225","ALPINE GROUP PARTNERS, LLC.","BIOTECHNOLOGY INDUSTRY ORGANIZATION (BIO)",0,2011-07-19,2011,"biofuels"
