,0,1,2,3,4
4d9556b8-492a-4667-ad25-4758ea3e516c,BLANK ROME GOVERNMENT RELATIONS,HERAEUS PRECIOUS METALS,,2014-07-14T16:01:02.477000-04:00,2014
cb375a74-7960-48e1-8d11-35f8ce7a5070,"ML STRATEGIES, LLC","SUNIVA, INC.",,2014-09-26T14:52:38-04:00,2014
3140ad0d-cea7-4393-9a75-f54d1ee31f32,"PODESTA GROUP, INC.",SUNEDISON,,2014-10-16T00:00:00-04:00,2014
6e50db82-1d1b-4af9-8c24-f694597af2ba,SUNRUN INC.,SUNRUN INC.,,2014-12-18T00:00:00-05:00,2014
1315d44f-568f-424c-8df6-835df58a4cf6,"JOHN T. DOOLITTLE, LLC","PV2 ENERGY, LLC",,2015-03-08T21:12:15-04:00,2015
e9fdf8c6-4193-416f-8da5-dd90cc498ec2,"RECURRENT ENERGY, LLC","RECURRENT ENERGY, LLC",,2015-04-20T13:48:37-04:00,2015
d49e4284-2819-440a-92b8-8ba7dfabf0ab,"38 NORTH SOLUTIONS, LLC",SUNEDISON (FORMERLY KNOWN AS FIRST WIND),,2015-04-20T14:18:27-04:00,2014
927aa20f-ffda-4c7e-9f9c-2fd150ee2932,"JOHN T. DOOLITTLE, LLC","PV2 ENERGY, LLC",,2015-06-10T16:39:17-04:00,2015
68802674-18de-41bf-a720-b21215199e35,"JOHN T. DOOLITTLE, LLC","PV2 ENERGY, LLC",,2015-06-10T17:16:48-04:00,2015
636ccb88-4b04-49e3-8753-9103e0150622,SQUIRE PATTON BOGGS,SOLAR ENERGY INDUSTRIES ASSOCIATION,,2015-07-14T11:54:50-04:00,2015
16ebf422-1156-4747-a794-4d9f613ddac4,"ALPINE GROUP PARTNERS, LLC.",FRANKLIN ELECTRIC,,2015-12-09T12:23:15-05:00,2015
7225fb26-0045-4376-bee8-0972b75a2550,WEST FRONT STRATEGIES LLC,SUNRUN INC.,,2016-03-09T12:31:44-05:00,2016
11524756-288e-46ff-8490-5b338c13ea27,WEST FRONT STRATEGIES LLC,TESLA INC,,2016-03-09T12:42:02-05:00,2016
06ccdb0b-3cba-436e-b585-37682a8c3405,SQUIRE PATTON BOGGS,DUKE ENERGY BUSINESS SERVICES LLC,,2016-03-31T13:53:06-04:00,2016
a4318e7b-8881-4d17-90e6-735a66415cc2,"PODESTA GROUP, INC.",SUNRUN INC.,,2016-04-15T15:00:43-04:00,2016
5866d0a2-5e97-4df7-908e-af8783bac8ed,"PERRY BAYLISS GOVERNMENT RELATIONS, LLC",ATNI,,2016-12-27T19:29:03-05:00,2016
55817f76-f000-488b-8a04-8bdd68336906,HANKA ADVISOR LLC,ANTELOPE VALLEY TRANSIT AUTHORITY,,2017-01-05T11:20:04-05:00,2017
5fb26637-e57e-4797-834e-88b9bb111f30,SUNRUN INC.,SUNRUN INC.,,2017-01-12T01:27:45-05:00,2017
c6e5fadd-d384-4f3f-a1e8-4fc009f0e92a,SUNRUN INC.,SUNRUN INC.,,2017-02-27T15:12:22-05:00,2017
74a2a01c-6354-44fa-a392-5db6f2975c48,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",SUNRUN INC.,,2017-04-08T14:38:55-04:00,2017
cc96ff6c-882a-465e-b553-09da356eccd2,VAN FLEET ASSOCIATES,POWER PACK GP LOBBYING FOR CLIENT VITAL CONSTRUCTION ELECTRIC,,2017-04-13T14:06:02-04:00,2017
6567b3b0-3d02-4dbe-9d34-19f2a99b7085,RUBIN AND RUDMAN LLP,TESLA INC,,2017-04-20T16:22:04-04:00,2017
d68cff0b-ce17-4d27-855e-5887ea3dcdff,SMIRNOW LAW,"REC SILICON, INC.",,2017-07-13T10:54:06-04:00,2017
fdb65fff-1772-4c64-8d79-4581d004aba1,HBW RESOURCES,SUNNOVA ENERGY CORPORATION,,2017-07-24T11:02:28-04:00,2017
7ea659ac-50a4-4988-8b6e-38a3eaed7a05,"WHITMER & WORRALL, LLC",BYD MOTORS INC.,,2017-10-02T09:17:47-04:00,2017
c79e75bc-248e-4a1a-a926-c6568f90c684,COGENT STRATEGIES LLC,SOLARRESERVE,,2018-01-09T17:18:38-05:00,2017
9c91997e-31f6-45a5-90db-9ea4fb8f3b88,"RECURRENT ENERGY, LLC","RECURRENT ENERGY, LLC",,2018-01-23T17:17:09-05:00,2018
85813b86-7f9d-465b-9840-38c37ea4f421,JLV STRATEGIES LLC,SWINERTON BUILDERS,,2018-01-29T21:22:15-05:00,2017
6c28dfac-a4bc-4907-99a0-e6393c0c2650,SUNRUN INC.,SUNRUN INC.,,2018-02-07T01:18:33-05:00,2017
6b4b8fdd-35bb-45d1-ba69-56c29057d17e,"VANTAGE KNIGHT, INC.","SUNRUN, INC.",,2018-03-20T16:18:21-04:00,2018
fd31860c-20e2-45c2-aa48-a3187b668868,VENABLE LLP,UTILITY-SCALE SOLAR COALITION,,2018-04-03T11:48:40-04:00,2018
89825267-089b-49e5-b297-1eb9590382d7,SUNRUN INC.,SUNRUN INC.,,2018-05-04T02:11:12-04:00,2018
aadb1353-32c0-4e62-b0a8-244a0ccbf607,"CASSIDY & ASSOCIATES, INC.","SUNRUN, INC.",,2018-05-30T11:47:48-04:00,2018
12a7e18d-1ca7-403e-9207-e6c769206806,BROOKFIELD RENEWABLE ENERGY MARKETING US LLC,BROOKFIELD RENEWABLE ENERGY MARKETING US LLC,,2019-02-18T15:30:30-05:00,2019
a705f1d5-8b1b-4bb0-b9a2-f16120e9ee29,FOLEY & LARDNER LLP,SMARTPOWER,,2019-07-23T12:16:44-04:00,2019
d58495c5-1c9b-49b3-8cb1-b806137d1e64,BLANK ROME GOVERNMENT RELATIONS,VIOLET POWER,,2019-08-19T17:45:46-04:00,2019
75628fd1-77a1-4518-a25c-1ddcc3de5df7,"CASSIDY & ASSOCIATES, INC.","VIOLET ENERGY, INC",,2019-09-24T11:15:44-04:00,2019
a2d78d6a-0562-4de8-86d5-17cdc8bed7f6,NOSSAMAN LLP,"APPARENT, INC.",,2019-10-16T11:43:50-04:00,2019
2bd7b5aa-3fff-4fce-b455-8542b070618b,SUNRUN INC.,SUNRUN INC.,,2019-12-06T03:43:42-05:00,2019
fbe49dfa-a1b9-48e9-bad8-4fff6894628d,"VANTAGE KNIGHT, INC.","SUNRUN, INC.",,2020-01-18T11:17:40-05:00,2018
f46e2399-b675-4068-9092-5cfa1e82ec40,BLANK ROME GOVERNMENT RELATIONS,CMB REGIONAL CENTER,,2020-01-31T17:13:54-05:00,2020
dc54ab09-29cf-40cd-92f3-8273e44fff3e,BROOKFIELD POWER US ASSET MANAGEMENT LLC,BROOKFIELD POWER US ASSET MANAGEMENT LLC,,2020-04-17T12:08:12.440000-04:00,2020
21c6199d-56d8-4a41-95e4-e08fe843bcf0,FBB FEDERAL RELATIONS,ORION ENERGY SYSTEMS,,2011-01-06T16:19:50.030000-05:00,2010
55b323f7-c6d1-48ae-b932-d71bfb641811,FREEMYER & ASSOCIATES P.C.,CITY OF FERNLEY,,2011-01-12T14:20:03.797000-05:00,2010
9000f8c3-2d39-4c33-9f54-9226697bf3a8,"TROUTMAN PEPPER HAMILTON SANDERS, LLP",EDISON ELECTRIC INSTITUTE (EEI),,2011-01-13T11:26:53.743000-05:00,2010
f389201b-ef03-4f3c-9960-cb231d3e1f6d,HOLLY EVANS,NATIONAL SEMICONDUCTOR,,2011-01-13T13:36:00.317000-05:00,2010
3952ae56-d1a6-49b5-bf04-a0263e1e8a4e,"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.","APPLIED MATERIALS, INC.",,2011-01-13T13:45:06.067000-05:00,2010
b2672e93-c560-40a7-bf65-3e850baad41f,"THE NORMANDY GROUP, LLC",FOREST CITY HAWAII LLC,,2011-01-14T10:58:31.163000-05:00,2010
