,0,1,2,3
d47081a9-8fcf-4f13-b19f-39347ad135db,S-3 GROUP,,2014-04-14T17:15:42.077000-04:00,2014
e65a4cc2-ef9a-4fad-a3c8-1b750c490ecc,FOLEY & LARDNER LLP,,2014-04-17T15:29:39.923000-04:00,2014
6deb5878-9ec7-445b-8d3b-c9f1bebd6846,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,95000.00,2014-04-18T17:58:26-04:00,2014
11a62963-d2fc-491d-9dbb-e09b55e0e3e5,"LIONEL ""LEO"" AGUIRRE",,2014-04-21T21:19:27.157000-04:00,2014
9bf2fee5-f4c7-4199-aa05-86ed7a4b6120,NATIONAL ADVOCACY CENTER OF THE SISTERS OF THE GOOD SHEPHERD,,2014-06-25T16:51:11.817000-04:00,2014
7a6209a9-3301-49bc-a84c-b60633c9f1fd,"LIONEL ""LEO"" AGUIRRE",,2014-07-10T19:29:57.043000-04:00,2014
797a49c6-c8ec-4b90-a52d-6e80add03712,S-3 GROUP,,2014-07-17T12:00:22.267000-04:00,2014
02567e27-7b82-4808-b5e0-a95c97198995,AFL-CIO,900000.00,2014-07-21T12:43:45.033000-04:00,2014
18e7c6f0-0936-457d-a4b4-e774ddba395d,AMERICAN CIVIL LIBERTIES UNION,472218.00,2014-07-21T14:23:53.087000-04:00,2014
0edfe525-8da7-4a94-8957-3ee3a9a9593c,FOLEY & LARDNER LLP,,2014-07-21T14:30:40.380000-04:00,2014
8d8ca680-1591-4c9c-a252-0de8e0aa8664,AFL-CIO,900000.00,2014-07-21T15:51:38.850000-04:00,2014
a2ff4a60-3641-4cd3-965a-57a9617f88dd,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,68750.00,2014-08-15T12:45:46.977000-04:00,2014
d06d1c97-d9e3-4aa6-af92-a7b55152ea2a,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,68750.00,2014-08-15T12:47:59.567000-04:00,2014
921b68d2-ff21-4a1a-a68c-c45fb0594cdd,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,68750.00,2014-10-14T10:04:23.113000-04:00,2014
cbfd8bee-3a99-43ba-897e-12ea960fbf8a,S-3 GROUP,,2014-10-17T09:36:51.680000-04:00,2014
7b905682-100c-4808-bf21-4359f47fc8c9,"LIONEL ""LEO"" AGUIRRE",,2014-10-20T21:39:08.737000-04:00,2014
855db936-c3b7-49bc-86d9-93052b7164ef,NATIONAL EDUCATION ASSOCIATION,600000.00,2015-01-16T10:15:01.253000-05:00,2014
b70eec76-4bd7-4799-a096-67efdf8ea245,S-3 GROUP,,2015-01-16T11:56:09.377000-05:00,2014
7791ae1e-4ece-416b-97ba-99de765e081e,LEAGUE OF WOMEN VOTERS OF THE U.S.,100755.00,2015-01-16T16:04:22.057000-05:00,2014
cb58328e-257b-4278-a18f-574fbe4e791c,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,68750.00,2015-01-20T10:40:21.380000-05:00,2014
