,0,1,2,3,4
249475b0-f2d4-4e25-9a19-cf7e50ea321b,"REM STRATEGIES, LLC","KEAN WIND TURBINES, INC.",,2018-06-25T10:49:54-04:00,2018
ce985bda-63e4-44a8-9cb9-08467831e630,SC PARTNERS LLC,EDPR OFFSHORE NORTH AMERICA LLC,,2018-10-30T09:44:57-04:00,2018
40fa28e1-5e19-4a5c-a345-df3f90ac25d3,"A10 ASSOCIATES, LLC","VINEYARD WIND, LLC",,2019-01-02T11:11:28-05:00,2019
21f6098c-2690-4c24-a62c-60068331fbcb,"A10 ASSOCIATES, LLC","VINEYARD WIND, LLC",,2019-01-11T16:34:43-05:00,2019
7e1c7816-ea4f-4eb0-86a7-ab10d46cedf7,STEPTOE & JOHNSON LLP,AMERICAN CLEAN POWER ASSOCIATION (FKA AMERICAN WIND ENERGY ASSOCIATION),,2019-02-13T17:27:37-05:00,2019
12a7e18d-1ca7-403e-9207-e6c769206806,BROOKFIELD RENEWABLE ENERGY MARKETING US LLC,BROOKFIELD RENEWABLE ENERGY MARKETING US LLC,,2019-02-18T15:30:30-05:00,2019
227df684-34da-4b6c-b841-23ec423e423e,"CYPRESS ADVOCACY, LLC","SHELL USA, INC. (FKA SHELL OIL COMPANY)",,2019-07-19T16:21:08-04:00,2019
342175be-c673-4db4-855b-8bb1b600ecaf,BGR GOVERNMENT AFFAIRS,"VINEYARD WIND, LLC",,2019-08-15T13:25:42-04:00,2019
9b23b880-e3b9-48aa-97a6-650b6f1e0d1e,"CGCN GROUP, LLC (FORMERLY KNOWN AS CLARK GEDULDIG CRANFORD & NIELSEN, LLC)",AMERICAN WIND ENERGY ASSOCIATION,,2020-01-16T10:07:07-05:00,2019
3301f479-861f-4b62-a5f0-33b26788efad,MEGUIRE WHITNEY,COLORADO RIVER ENERGY DISTRIBUTORS ASSOCIATION,,2020-01-17T12:53:13-05:00,2019
3301f479-861f-4b62-a5f0-33b26788efad,MEGUIRE WHITNEY,COLORADO RIVER ENERGY DISTRIBUTORS ASSOCIATION,,2020-01-17T12:53:13-05:00,2019
a8ca0487-195e-4a78-af3b-b8fa2ed06ac2,"K&L GATES, LLP",APEX CLEAN ENERGY,,2020-01-30T09:19:58-05:00,2020
066790e4-bf5d-4b12-b364-7cda065c4f47,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,"MITSUBISHI HEAVY INDUSTRIES AMERICA, INC.",,2020-04-16T13:50:46-04:00,2020
dc54ab09-29cf-40cd-92f3-8273e44fff3e,BROOKFIELD POWER US ASSET MANAGEMENT LLC,BROOKFIELD POWER US ASSET MANAGEMENT LLC,,2020-04-17T12:08:12.440000-04:00,2020
1b6082fa-f0d3-4f9e-92f1-9fe0b385b220,LOT SIXTEEN LLC,"ENGIE NORTH AMERICA, INC.",,2020-04-20T13:12:11-04:00,2020
95952bcf-a285-4e52-86bb-736f52cb0d19,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,"MITSUBISHI HEAVY INDUSTRIES AMERICA, INC.",,2020-04-30T16:55:35-04:00,2020
50c5da6a-4f9c-487b-93c7-8628207c8967,"TRINITY INDUSTRIES, INC",TRINITY INDUSTRIES INC,,2011-01-10T11:50:09.520000-05:00,2010
d6b0c6c4-21e2-4253-97f3-387be1434abb,STRATEGIC MARKETING INNOVATIONS,UNIVERSITY OF MAINE,,2011-01-13T13:54:16.583000-05:00,2010
1f62fc82-67b9-4b9e-9649-6786f8a7b24b,"CLARK HILL, PLC",MICHIGAN ECONOMIC DEVELOPMENT CORPORATION,,2011-01-13T15:33:37.937000-05:00,2010
1b38c937-8f72-4be8-b638-83508a4f1671,"CAPITOL CITY GROUP, LTD.",CAPE WIND ASSOCIATES LLC,,2011-01-13T16:35:05.387000-05:00,2010
dc6f5ed3-e354-48ea-b819-47d4279882b2,STRATEGIC MARKETING INNOVATIONS,EAST CAROLINA UNIVERSITY,,2011-01-13T18:05:32.463000-05:00,2010
4649b6c8-1a29-4319-a288-d802a237b3f3,"AMERICAN COMMUNICATIONS GROUP, INC.",AMERICAN WIND ENERGY ASSOCIATION,,2011-01-14T11:45:33.637000-05:00,2010
1789f965-8822-46fa-b912-89b8e2d3654f,THE WASHINGTON TAX & PUBLIC POLICY GROUP (FORMERLY THE WASHINGTON TAX GROUP),NEXTERA ENERGY CAPITAL HOLDINGS INC. (FORMERLY NEXTERA ENERGY INC.),,2011-01-14T12:34:19.370000-05:00,2010
2d38bac3-2c5b-4649-99e5-2b0834166a08,"CAPITOL CITY GROUP, LTD.",ORMAZABAL,,2011-01-14T15:41:12.487000-05:00,2010
14230376-d7ad-4eac-8862-64422cc1096e,BEN BARNES GROUP LP,"RH STRATEGIES, LLC",,2011-01-14T16:42:02.860000-05:00,2010
43225931-9dad-4a98-b2f8-9b29966f1191,EQUINOR US OPERATIONS LLC,EQUINOR US OPERATIONS LLC,72500.00,2011-01-14T16:46:07.390000-05:00,2010
2d6d8168-132e-432b-aeb1-c5d586870e71,BEAU BOULTER LLC,"DES NORSKE VERITAS CLASSIFICATION (AMERICAS), INC.",,2011-01-15T14:42:38.143000-05:00,2010
af279818-c120-4f3c-a232-1334d4f5b584,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,"IBERDROLA RENEWABLES, INC.",,2011-01-17T12:42:03.787000-05:00,2010
b6bd6a83-4cee-465f-a1a1-603a457db232,VAN SCOYOC ASSOCIATES,BOWLING GREEN STATE UNIVERSITY,,2011-01-17T13:24:49.897000-05:00,2010
d4107fc6-8b74-4bee-9e6a-32eb4db75cd1,VAN SCOYOC ASSOCIATES,UNIVERSITY OF RHODE ISLAND RESEARCH FOUNDATION,,2011-01-17T14:35:55.327000-05:00,2010
ff73cabf-5c88-4f7b-a2ab-97bf4de0d901,ALCALDE & FAY,CITY OF VIRGINIA BEACH,,2011-01-17T16:19:49.457000-05:00,2010
9d9cd3f6-957e-4ee5-a0c8-fc42fe6d7af1,THE WESSEL GROUP INCORPORATED,UNITED STEELWORKERS,,2011-01-17T17:44:46.257000-05:00,2010
2692697a-aff3-45ee-a907-f45c52f5db7a,DYKEMA GOSSETT PLLC,WOLVERINE POWER COOPERATIVE,,2011-01-18T11:42:53.837000-05:00,2010
8789553f-37dc-4fc0-921c-9c14ebc3b108,STRATEGIC MARKETING INNOVATIONS,UNIV OF DAYTON RESEARCH UNIVERSITY,,2011-01-18T15:01:36.837000-05:00,2010
5e780f17-b6a6-4cd4-8a69-cce7919667cb,PUBLIC SERVICE ENTERPRISE GROUP,PUBLIC SERVICE ENTERPRISE GROUP,930000.00,2011-01-18T16:58:02.497000-05:00,2010
47ba49d3-e9f1-4373-9371-23bd09b8bcf0,STRATEGIC MARKETING INNOVATIONS,APEX WIND ENERGY,,2011-01-18T18:15:52.257000-05:00,2010
fa82272b-4c08-4905-a362-70a61daaec48,SQUIRE PATTON BOGGS,CLEMSON UNIVERSITY,,2011-01-19T08:39:16.620000-05:00,2010
f60ed563-2b81-4772-ae28-7a7f0bd04ada,"ML STRATEGIES, LLC",OGIN INC (FORMERLY KNOWN AS FLODESIGN INC ),,2011-01-19T10:24:39.567000-05:00,2010
6f3b9e03-a9f5-4b1c-8256-f50d1e271bef,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,240331.00,2011-01-19T11:15:43.097000-05:00,2010
d0c79ec4-373b-4070-b8b1-d398f64f1710,"DUETTO GROUP, LLC",WESTERN NEBRASKA COMMUNITY COLLEGE,,2011-01-19T11:28:55.670000-05:00,2010
d0171d4f-c2a4-489b-8695-cde65e3dedab,"THE LIVINGSTON GROUP, LLC",ASHLAND INC,,2011-01-19T11:36:18.743000-05:00,2010
c544dd40-5b9f-4ddd-8068-c4e11e1fe3da,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,100000.00,2011-01-19T15:28:17.787000-05:00,2010
87b56a6b-a189-4eea-9517-f1a4aeb007ea,DAVIS & HARMAN LLP,NEXTERA ENERGY INC,,2011-01-19T17:06:21-05:00,2010
8b0b4a28-02ec-4a4b-9b66-2043c08fbb28,THE NATURE CONSERVANCY,NATURE CONSERVANCY,450000.00,2011-01-19T17:38:54.297000-05:00,2010
8facfe73-ba94-4d40-9a1e-ff51260aa846,PUGET SOUND ENERGY,PUGET SOUND ENERGY,355000.00,2011-01-19T17:59:32.297000-05:00,2010
ee52eb47-3799-4fe9-8354-0fec12023e94,WEYERHAEUSER COMPANY,WEYERHAEUSER COMPANY,410000.00,2011-01-19T18:09:14.420000-05:00,2010
6a17f300-162e-4f53-8746-9609f820464a,MITCH BUTLER,COMPOSITE TECHNOLOGY CORPORATION,,2011-01-19T19:09:31.500000-05:00,2010
de9c4e22-22e0-4b6b-a657-ada74e502351,BALL JANIK LLP,OREGON IRON WORKS,,2011-01-19T23:24:31.133000-05:00,2010
24120cdb-2a27-4ad3-8b48-5a01b64e3ab1,"CAPITOL TAX PARTNERS, LLP",AMERICAN WIND ENERGY ASSOCIATION,,2011-01-20T11:18:19.920000-05:00,2010
9fa56e04-b624-44ff-9f67-a390b0696042,"CAPITOL TAX PARTNERS, LLP",AVANGRID,,2011-01-20T11:18:45.497000-05:00,2010
e6e64575-efe2-460a-8afc-44b9807f711a,"K&L GATES, LLP",CENTRAL WASHINGTON UNIVERSITY,,2011-01-20T12:29:07.340000-05:00,2010
36b9b892-8db0-4b8f-a95b-268a878afd77,OGILVY GOVERNMENT RELATIONS,TDI-USA HOLDINGS CORP,,2011-01-20T13:14:36.887000-05:00,2010
11492361-a168-44c0-9d44-b0de3500a705,"WILLIAMS AND JENSEN, PLLC","TURNER ENTERPRISES, INC.",,2011-01-20T13:13:24.950000-05:00,2010
023035b5-3519-4521-beb6-2bc3df639434,MICHAEL TOOHEY AND ASSOCIATES,ASHLAND INC ON BEHALF OF THE LIVINGSTON GROUP,,2011-01-20T14:24:23.737000-05:00,2010
dc8dd53c-8867-4f7a-adc3-841417919ea9,NATIONAL GRID USA,NATIONAL GRID USA,960000.00,2011-01-20T14:26:51.233000-05:00,2010
