,0,1,2,3,4
3301f479-861f-4b62-a5f0-33b26788efad,MEGUIRE WHITNEY,COLORADO RIVER ENERGY DISTRIBUTORS ASSOCIATION,,2020-01-17T12:53:13-05:00,2019
dc54ab09-29cf-40cd-92f3-8273e44fff3e,BROOKFIELD POWER US ASSET MANAGEMENT LLC,BROOKFIELD POWER US ASSET MANAGEMENT LLC,,2020-04-17T12:08:12.440000-04:00,2020
e5cbeeae-152c-45dd-b56d-a8b729210787,BUTTERFIELD EVANS & ASSOCIATES LLC,MWH,,2011-01-07T16:35:54.167000-05:00,2010
1d475f04-d43d-4cfb-a5c7-3aed1ed11308,MID-WEST ELECTRIC CONSUMERS ASSOCIATION,MID-WEST ELECTRIC CONSUMERS ASSOCIATION,,2011-01-12T11:35:20.647000-05:00,2010
bb46befa-f12e-413f-869d-0e6c1b2101b5,BROOKFIELD POWER US ASSET MANAGEMENT LLC,BROOKFIELD POWER US ASSET MANAGEMENT LLC,80000.00,2011-01-17T12:26:37.427000-05:00,2010
46579c38-a588-4a8c-ae7a-97793ce7e412,"MORGAN MEGUIRE, LLC",COLORADO RIVER ENERGY DISTRIBUTORS ASSOCIATION,,2011-01-18T10:52:23.433000-05:00,2010
9f91dd89-a494-4294-8180-9aa8e66e8d0f,STRATEGIES 360,VOITH HYDRO,,2011-01-18T16:54:41.160000-05:00,2010
2f383f91-6841-497b-9d23-275143594eeb,NATIONAL HYDROPOWER ASSOCIATION,NATIONAL HYDROPOWER ASSOCIATION,110000.00,2011-01-18T18:11:48.257000-05:00,2010
45032fb2-0292-418b-b29c-cef46faebd68,ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),NATIONAL HYDROPOWER ASSOCIATION,,2011-01-19T16:41:40.220000-05:00,2010
45032fb2-0292-418b-b29c-cef46faebd68,ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),NATIONAL HYDROPOWER ASSOCIATION,,2011-01-19T16:41:40.220000-05:00,2010
8725a760-cd1d-4e44-a98d-70d52ee0fdde,"RKB STRATEGIES, LLC (FKA RKB CONSULTING, LLC)",NATIONAL HYDROPOWER ASSOCIATION,,2011-01-19T20:30:38.697000-05:00,2010
